customer_id,customer_name,email_address,gender,age,annual_household_income,who_you_usually_shop_for,how_often_you_shopped_groceries_in_the_past_three_mnths,how_often_you_shopped_clothing_shoes_accessories_in_the_past_three_mnths,how_often_you_shopped_home_furniture_appliances_in_the_past_three_mnths,how_often_you_shopped_health_wellness_beauty_in_the_past_three_mnths,you_prefer_shopping_groceries_instore,you_prefer_shopping_groceries_website,you_prefer_shopping_groceries_with_the_app,you_prefer_shopping_clothing_shoes_accessories_instore,you_prefer_shopping_clothing_shoes_accessories_website,you_prefer_shopping_clothing_shoes_accessories_with_the_app,you_prefer_shopping_home_furniture_appliances_instore,you_prefer_shopping_home_furniture_appliances_website,you_prefer_shopping_home_furniture_appliances_with_the_app,you_prefer_shopping_health_wellness_beauty_instore,you_prefer_shopping_health_wellness_beauty_website,you_prefer_shopping_health_wellness_beauty_with_the_app,you_have_used_the_emporium_app_to_shop,how_much_do_you_spend_on_each_emporium_trip,price_of_items_you_buy_on_each_emporium_trip,do_you_use_bnpl,do_you_use_rewards_card,do_you_use_credit_card,do_you_use_cashback_debit_card,where_else_do_you_shop_target,where_else_do_you_shop_home_depot,where_else_do_you_shop_walgreens,where_else_do_you_shop_amazon_go,where_else_do_you_shop_lowe's,where_else_do_you_shop_kroger,where_else_do_you_shop_costco,where_else_do_you_shop_kohl's,where_else_do_you_shop_best_buy,where_else_do_you_shop_macy's,where_else_do_you_shop_albertsons,how_much_do_you_spend_on_each_trip_to_competitors
58181396,Harper Davis,harper.davis@example.com,Female,30,129797,Myself,More than once per week,Once or twice,Once or twice,Once or twice,In-Store,,App,,Online,,,Online,,In-Store,Online,,Yes,96,"Mostly discounted, some full price",,Rewards card,,Debit card,,,Walgreens,,,Kroger,,,Best Buy,,,50
56164955,Robert Gonzalez,robert.gonzalez@example.com,Male,41,78507,Corporate gifting,More than once per week,Never,Never,Never,,,App,,,,,,,,,,Yes,100,All full price,,Rewards card,,Debit card,Target,,,,,,,,,,,84
91030736,Abigail Taylor,abigail.taylor@example.com,Female,34,66200,"My spouse, kids and I",Monthly,Once or twice,Once or twice,Once or twice,In-Store,,,,Online,,,Online,,,Online,,Yes,50,"Mostly full price, some discounted",,,,Debit card,Target,,,,,,,Kohl's,,,,40
45503389,Mia Hernandez,mia.hernandez@example.com,Female,35,126107,"My spouse, kids and I",Weekly,Once or twice,Once or twice,Once or twice,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,Yes,39,"Mostly full price, some discounted",,Rewards card,Credit card,Debit card,Target,,,,,,,,Best Buy,Macy's,,48
15831819,Ryan Brown,ryan.brown@example.com,Male,32,56083,"My spouse, kids and I",Once or twice,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,Online,App,In-Store,,,In-Store,Online,App,Yes,33,All full price,,,,,,,,,,,,,,,,30
71662963,Ava Garcia,ava.garcia@example.com,Female,29,69274,"My spouse, kids and I",Every two weeks,Once or twice,Once or twice,Once or twice,In-Store,,,In-Store,Online,,,Online,,In-Store,,,Yes,79,All discounted,,Rewards card,,,,,,,,,Costco,,,Macy's,,95
81971316,David Martinez,david.martinez@example.com,Male,36,167090,Myself,Weekly,Once or twice,Never,Monthly,In-Store,Online,,In-Store,,,In-Store,Online,,,,,Yes,41,"Mostly discounted, some full price",,Rewards card,,Debit card,Target,,,,,Kroger,,,,Macy's,,30
26753883,Jane Thompson,jane.thompson@example.com,Female,35,119160,Myself,Once or twice,More than once per week,Never,Never,,Online,,,Online,,,,,In-Store,,,No,88,All full price,,,,,,,,,,,,,,,,71
60806024,Christopher Thompson,christopher.thompson@example.com,Male,53,92670,My spouse and I,More than once per week,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,55,"Mostly full price, some discounted",,Rewards card,,Debit card,,,,,,,,Kohl's,,,,21
20576383,Christopher Smith,christopher.smith@example.com,Male,53,89444,My spouse and I,Weekly,Once or twice,Once or twice,Once or twice,In-Store,,,In-Store,,,,Online,,In-Store,,,No,76,All full price,,,,,,,,,,,,,,,,40
84093639,David Gonzalez,david.gonzalez@example.com,Male,55,93817,My spouse and I,More than once per week,Once or twice,Monthly,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,48,All full price,,Rewards card,,Debit card,Target,,,,,,,Kohl's,Best Buy,,Albertsons,29
49349722,Alice Garcia,alice.garcia@example.com,Female,37,59141,Myself,More than once per week,More than once per week,Monthly,More than once per week,In-Store,,,In-Store,,,In-Store,,,In-Store,,,No,42,All full price,,,,,,,,,,,,,,,,10
94374605,David Johnson,david.johnson@example.com,Male,26,116636,My spouse and I,More than once per week,Every two weeks,Monthly,Monthly,,,App,In-Store,,,In-Store,,,In-Store,,,Yes,79,"Mostly discounted, some full price",,Rewards card,,Debit card,Target,Home Depot,,,,,Costco,,Best Buy,,,19
93016315,Elizabeth Williams,elizabeth.williams@example.com,Female,39,143157,My spouse and I,Monthly,Once or twice,Never,Once or twice,In-Store,,,,Online,,,Online,,,,,Yes,87,"Mostly discounted, some full price",,Rewards card,Credit card,Debit card,Target,Home Depot,,,,,,,,,Albertsons,94
58537831,Ava Rodriguez,ava.rodriguez@example.com,Female,38,62270,"My spouse, kids and I",Every two weeks,Monthly,Monthly,Once or twice,,,App,In-Store,,,In-Store,,,In-Store,,,Yes,97,"Mostly discounted, some full price",,Rewards card,,,Target,Home Depot,,,,,,,,Macy's,,155
87490893,Evelyn Davis,evelyn.davis@example.com,Female,49,98627,My spouse and I,More than once per week,Once or twice,Never,Once or twice,In-Store,,,,,,,,,,,,No,64,All full price,,,,,,,,,,,,,,,,7
35808537,William Thompson,william.thompson@example.com,Male,52,100898,"My spouse, kids and I",Weekly,Monthly,Once or twice,Once or twice,In-Store,,,,Online,,In-Store,,,,Online,,Yes,50,"Mostly discounted, some full price",,,,Debit card,,,,,,,,,,,,44
19335534,Noah Garcia,noah.garcia@example.com,Male,34,83861,Myself,Weekly,Monthly,Once or twice,Once or twice,,Online,,,Online,,In-Store,,,,Online,,Yes,50,All full price,,Rewards card,Credit card,Debit card,Target,,,,,,,,,Macy's,,70
16150444,Noah Thomas,noah.thomas@example.com,Male,34,90844,Myself,Once or twice,Never,Never,Never,In-Store,Online,App,In-Store,,,In-Store,,,In-Store,,,Yes,37,"Mostly full price, some discounted",,Rewards card,,,,,Walgreens,,,Kroger,,Kohl's,Best Buy,,,108
98753260,Robert Brown,robert.brown@example.com,Male,50,75666,"My spouse, kids and I",Every two weeks,Once or twice,Once or twice,Once or twice,In-Store,,,,Online,,,Online,,In-Store,,,Yes,44,"Mostly discounted, some full price",,Rewards card,,,,Home Depot,,,,,,,,,Albertsons,66
40587988,Michael Lee,michael.lee@example.com,Male,23,113849,"My spouse, kids and I",Every two weeks,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,73,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,Costco,,Best Buy,,,61
48840994,Harper Anderson,harper.anderson@example.com,Female,23,54826,"My spouse, kids and I",Weekly,Once or twice,Never,Never,In-Store,Online,App,,,App,,,,,,,Yes,82,"Mostly discounted, some full price",,Rewards card,Credit card,,Target,Home Depot,,,,,Costco,Kohl's,Best Buy,,Albertsons,132
20709497,Harper Thomas,harper.thomas@example.com,Female,32,200242,"My spouse, kids and I",More than once per week,Monthly,Once or twice,Once or twice,In-Store,,App,In-Store,,,In-Store,,,In-Store,,,Yes,57,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,,,,Kroger,,,,,,71
41244663,Amelia Johnson,amelia.johnson@example.com,Female,36,163869,My spouse and I,Weekly,Once or twice,Once or twice,Never,In-Store,,,In-Store,,,,,,,,,Yes,95,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,Walgreens,,,Kroger,,Kohl's,Best Buy,,Albertsons,55
23556182,Tyler Johnson,tyler.johnson@example.com,Male,52,100772,"My spouse, kids and I",Weekly,Once or twice,Once or twice,Once or twice,,,App,In-Store,,,In-Store,,,In-Store,,,Yes,95,"Mostly discounted, some full price",,Rewards card,,Debit card,Target,Home Depot,,,,,,,,,,18
61019678,Charlotte Martinez,charlotte.martinez@example.com,Female,22,116965,My spouse and I,Weekly,Once or twice,Monthly,Monthly,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,62,"Mostly full price, some discounted",,Rewards card,,,,Home Depot,,Amazon Go,,,,,Best Buy,,,79
47308985,Michael Garcia,michael.garcia@example.com,Male,38,138200,My spouse and I,Monthly,Never,Never,Never,In-Store,,App,,,,,,,,,,Yes,104,All full price,,,,,,,,,,,,,,,,7
70855700,Robert Davis,robert.davis@example.com,Male,47,83057,Myself,Every two weeks,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,,Online,,In-Store,,,Yes,80,"Mostly full price, some discounted",,Rewards card,,,,,,,,,,Kohl's,Best Buy,,,46
95320121,Ryan Jones,ryan.jones@example.com,Male,23,98393,Myself,Every two weeks,Never,Once or twice,Never,,Online,,,,,,,,In-Store,,,Yes,33,"Mostly full price, some discounted",,,,,,,,,,,,,,,,70
58966946,Harper Miller,harper.miller@example.com,Female,41,92187,"My spouse, kids and I",Once or twice,Never,Never,Never,In-Store,,App,,,,,,,,,,Yes,76,"Mostly discounted, some full price",bnpl,Rewards card,,Debit card,Target,Home Depot,,,,,,,,,,66
31831063,Madison Hernandez,madison.hernandez@example.com,Female,32,39757,My spouse and I,Weekly,Never,Never,Once or twice,In-Store,,App,,,,In-Store,,,,,,Yes,39,"Mostly discounted, some full price",,Rewards card,,,Target,Home Depot,,,,,,,Best Buy,,,11
59684848,Ava Williams,ava.williams@example.com,Female,48,140029,My spouse and I,More than once per week,Once or twice,Once or twice,Once or twice,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,Yes,47,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,,,Best Buy,,,61
57683626,Ryan Jackson,ryan.jackson@example.com,Male,48,48480,Myself,Monthly,Monthly,Once or twice,Once or twice,In-Store,,,,Online,App,In-Store,,,In-Store,,,Yes,68,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,,,Lowe's,,Costco,Kohl's,Best Buy,,Albertsons,46
38119557,Michael Johnson,michael.johnson@example.com,Male,34,171992,Myself,Monthly,Monthly,Never,Never,In-Store,,,,Online,,,,,In-Store,,,No,76,All full price,,,,,,,,,,,,,,,,42
99949389,John Williams,john.williams@example.com,Male,45,71505,"My spouse, kids and I",Weekly,Monthly,Once or twice,Once or twice,In-Store,,,,Online,,,Online,,,Online,,Yes,46,"Mostly full price, some discounted",,Rewards card,,Debit card,,,,,,,,Kohl's,,,,59
45833156,Ava Miller,ava.miller@example.com,Female,50,79956,Myself,Once or twice,Once or twice,Once or twice,Never,,Online,,,Online,,,,,,Online,,Yes,121,All full price,,,,,Target,Home Depot,,,,,,,,,,91
96977837,Joshua Moore,joshua.moore@example.com,Male,30,96100,"My spouse, kids and I",More than once per week,Weekly,Monthly,Monthly,,Online,,In-Store,,,In-Store,,,In-Store,,,Yes,60,All full price,,Rewards card,,,,,,,,,,,,,,39
19583482,Noah Davis,noah.davis@example.com,Male,48,96968,My spouse and I,Weekly,Once or twice,Never,Never,In-Store,,,In-Store,,,,,,,,,No,58,All full price,,,,,,,,,,,,,,,,69
91756179,Charlotte Johnson,charlotte.johnson@example.com,Female,28,119042,Myself,Monthly,Monthly,Never,Never,In-Store,,,,Online,,,,,,,,Yes,89,"Mostly discounted, some full price",,,,,Target,Home Depot,,,,,,,Best Buy,,,53
95225343,James Taylor,james.taylor@example.com,Male,35,106556,"My spouse, kids and I",Every two weeks,Monthly,Once or twice,Once or twice,In-Store,,,In-Store,,,In-Store,,,In-Store,,,Yes,86,"Mostly discounted, some full price",,Rewards card,,,Target,Home Depot,,,,,,,,,,87
32969840,John Taylor,john.taylor@example.com,Male,41,49744,My spouse and I,Monthly,Never,Never,Never,In-Store,,App,,,,,,,,,,Yes,76,All discounted,,Rewards card,,,,,,,,,,,,,,39
81691040,Joseph Hernandez,joseph.hernandez@example.com,Male,41,86775,My spouse and I,Monthly,Once or twice,Once or twice,Once or twice,In-Store,,App,,,App,,,App,,,App,Yes,42,"Mostly full price, some discounted",,Rewards card,,Debit card,Target,,,,,,,,,,Albertsons,71
42857966,Matthew Thomas,matthew.thomas@example.com,Male,39,107279,My spouse and I,Every two weeks,Once or twice,Monthly,Never,In-Store,Online,App,In-Store,,,,,,In-Store,Online,App,Yes,94,"Mostly discounted, some full price",,Rewards card,,,,,,,,,,,,,Albertsons,21
31931511,Evelyn Jones,evelyn.jones@example.com,Female,46,116900,"My spouse, kids and I",Once or twice,Never,Never,Never,In-Store,,App,,,,,,,,,,Yes,90,"Mostly full price, some discounted",,Rewards card,,,Target,Home Depot,,,,,,,Best Buy,,,28
72043515,Robert Wilson,robert.wilson@example.com,Male,31,174512,"My spouse, kids and I",Every two weeks,Once or twice,Never,Never,In-Store,,,In-Store,,,,,,,,,No,57,All full price,,,,,,,,,,,,,,,,47
60929647,Sophia Johnson,sophia.johnson@example.com,Female,55,142384,"My spouse, kids and I",Weekly,Monthly,Once or twice,Once or twice,In-Store,,App,In-Store,,,In-Store,,,In-Store,,,Yes,33,"Mostly full price, some discounted",,Rewards card,Credit card,,Target,,,,,,,Kohl's,Best Buy,,,44
46231783,Alice Martinez,alice.martinez@example.com,Female,31,108404,My spouse and I,More than once per week,Every two weeks,Monthly,Monthly,In-Store,,,In-Store,,,In-Store,,,,Online,,Yes,14,All full price,,,,,,,,,,,,,,,,58
95899313,Alice Johnson,alice.johnson@example.com,Female,47,121877,My spouse and I,Every two weeks,Once or twice,Never,Never,In-Store,,,In-Store,Online,,,,,,,,No,47,All full price,,,,,,,,,,,,,,,,50
84752529,Noah Martin,noah.martin@example.com,Male,34,75337,My spouse and I,Every two weeks,Monthly,Once or twice,Once or twice,In-Store,,App,In-Store,Online,,In-Store,,,In-Store,,,Yes,76,"Mostly full price, some discounted",,Rewards card,,Debit card,Target,,,,,,Costco,Kohl's,Best Buy,Macy's,,20
39476249,James Johnson,james.johnson@example.com,Male,45,193155,Myself,Monthly,Once or twice,Once or twice,Never,,Online,,,Online,,,,,,Online,,Yes,45,All discounted,,Rewards card,,Debit card,,Home Depot,Walgreens,,Lowe's,Kroger,Costco,,Best Buy,,,43
53524491,Emily Miller,emily.miller@example.com,Female,42,60052,"My spouse, kids and I",Weekly,Every two weeks,Once or twice,Once or twice,In-Store,,,,Online,,,Online,,,Online,,No,28,All full price,,,,,,,,,,,,,,,,57
17507864,David White,david.white@example.com,Male,44,129733,My spouse and I,Weekly,Never,Once or twice,Once or twice,In-Store,,App,In-Store,,,In-Store,,App,,,App,Yes,12,All full price,,Rewards card,,,Target,,,,,,,,,,,32
40742311,David Lee,david.lee@example.com,Male,42,65151,Myself,Weekly,Once or twice,Never,Once or twice,In-Store,,,,Online,,,,,,,,Yes,74,All full price,,Rewards card,Credit card,Debit card,Target,,,,,,,,Best Buy,,,56
14308421,Ava Taylor,ava.taylor@example.com,Female,31,148122,"My spouse, kids and I",Weekly,Once or twice,Never,Never,In-Store,,,,,App,,,,,,,Yes,28,"Mostly discounted, some full price",,Rewards card,,,Target,,,,,,,,,,,17
52339391,Emma Thompson,emma.thompson@example.com,Female,34,106599,"My spouse, kids and I",More than once per week,Every two weeks,Monthly,Monthly,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,In-Store,Online,App,Yes,130,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,,Kohl's,,Macy's,Albertsons,71
63843426,Ava Thompson,ava.thompson@example.com,Female,48,123379,My spouse and I,More than once per week,Monthly,Once or twice,Once or twice,,Online,,,Online,,In-Store,,,In-Store,,,Yes,43,"Mostly full price, some discounted",,Rewards card,,,Target,,,,,,,,Best Buy,,,61
45935572,Bob White,bob.white@example.com,Male,45,57373,"My spouse, kids and I",Every two weeks,Once or twice,Never,Never,In-Store,,,,,,,,,,,,No,51,All full price,,,,,,,,,,,,,,,,15
